epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,988.011,0.95024,1.03301,1.23763,0.86316,0.83428,0.89923,0.68061,0.8662,0.77941,1.23981,0.00643101,0.00643101,0.00643101
43,1011.01,0.95534,1.02709,1.23728,0.85063,0.8161,0.88892,0.64889,0.94191,0.87208,1.30452,0.00628101,0.00628101,0.00628101
44,1034.02,0.94988,1.02328,1.23251,0.87755,0.83006,0.8969,0.66569,0.92328,0.81759,1.26976,0.00612981,0.00612981,0.00612981
45,1057.12,0.95337,1.02579,1.23809,0.8544,0.82747,0.90269,0.68311,0.86175,0.83074,1.22176,0.00597754,0.00597754,0.00597754
46,1080.64,0.945,1.0028,1.22841,0.85784,0.84508,0.91059,0.68865,0.85403,0.75736,1.22399,0.00582435,0.00582435,0.00582435
47,1104.06,0.94615,1.005,1.23449,0.88401,0.83818,0.9142,0.69606,0.85314,0.77683,1.22148,0.0056704,0.0056704,0.0056704
48,1127.36,0.94273,0.99763,1.23267,0.90585,0.86367,0.92904,0.70329,0.87459,0.69496,1.24059,0.00551584,0.00551584,0.00551584
49,1150.65,0.93064,0.99004,1.22578,0.90536,0.86265,0.93007,0.71607,0.83325,0.70318,1.20253,0.00536081,0.00536081,0.00536081
50,1174.04,0.92946,0.97909,1.22058,0.88302,0.87455,0.92834,0.71472,0.82828,0.68286,1.18208,0.00520548,0.00520548,0.00520548
51,1197.02,0.9374,0.98798,1.22309,0.89441,0.85371,0.92351,0.70529,0.84636,0.7013,1.20605,0.00505,0.00505,0.00505
52,1220.15,0.91209,0.9584,1.21083,0.89434,0.84863,0.92259,0.70718,0.84509,0.70147,1.20722,0.00489452,0.00489452,0.00489452
53,1243.31,0.91108,0.95429,1.20992,0.89361,0.88059,0.93736,0.71236,0.85639,0.65772,1.20164,0.00473919,0.00473919,0.00473919
54,1266.41,0.90521,0.93977,1.20458,0.88738,0.88023,0.93158,0.71918,0.83134,0.67366,1.1949,0.00458416,0.00458416,0.00458416
55,1289.43,0.90987,0.9422,1.21164,0.88584,0.8574,0.92233,0.7029,0.83684,0.72644,1.20266,0.0044296,0.0044296,0.0044296
56,1312.48,0.90214,0.92898,1.20236,0.90649,0.87936,0.94095,0.73088,0.79091,0.64626,1.16909,0.00427565,0.00427565,0.00427565
57,1335.66,0.89314,0.90952,1.19712,0.89606,0.89214,0.93992,0.73687,0.78834,0.62258,1.1615,0.00412246,0.00412246,0.00412246
